obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"470.829"	""	"260"	""		""	""		""	"L3475"	
"471.350"	""	"150"	""		""	""		""	"L3475"	
"473.389"	""	"110c"	""		""	""		""	"L3475"	
"474.970"	""	"220c"	""		""	""		""	"L3475"	
"481.638"	""	"110"	""		""	""		""	"L3475"	
"484.837"	""	"110c"	""		""	""		""	"L3475"	
"496.778"	""	"130c"	""		""	""		""	"L3475"	
"497.314"	""	"110"	""		""	""		""	"L3475"	
"498.897"	""	"190"	""		""	""		""	"L3475"	
"500.095"	""	"85"	""		""	""		""	"L3475"	
"500.225"	""	"65"	""		""	""		""	"L3475"	
"501.327"	""	"40"	""		""	""		""	"L3475"	
"501.775"	""	"230"	""		""	""		""	"L3475"	
"501.951"	""	"40"	""		""	""		""	"L3475"	
"502.636"	""	"150"	""		""	""		""	"L3475"	
"503.013"	""	"40"	""		""	""		""	"L3475"	
"503.904"	""	"210"	""		""	""		""	"L3475"	
"504.796"	""	"40"	""		""	""		""	"L3475"	
"505.801"	""	"170"	""		""	""		""	"L3475"	
"505.935"	""	"65"	""		""	""		""	"L3475"	
"506.525"	""	"130"	""		""	""		""	"L3475"	
"507.740"	""	"40"	""		""	""		""	"L3475"	
"507.896"	""	"750"	""		""	""		""	"L3475"	
"509.441"	""	"40c"	""		""	""		""	"L3475"	
"509.530"	""	"420"	""		""	""		""	"L3475"	
"510.016"	""	"170"	""		""	""		""	"L3475"	
"512.030"	""	"170"	""		""	""		""	"L3475"	
"512.180"	""	"85"	""		""	""		""	"L3475"	
"512.766"	""	"85"	""		""	""		""	"L3475"	
"513.334"	""	"40"	""		""	""		""	"L3475"	
"513.475"	""	"210"	""		""	""		""	"L3475"	
"514.058"	""	"75"	""		""	""		""	"L3475"	
"514.754"	""	"75"	""		""	""		""	"L3475"	
"515.064"	""	"40"	""		""	""		""	"L3475"	
"515.263"	""	"75"	""		""	""		""	"L3475"	
"516.033"	""	"250"	""		""	""		""	"L3475"	
"516.438"	""	"250"	""		""	""		""	"L3475"	
"518.031"	""	"230"	""		""	""		""	"L3475"	
"518.698"	""	"110"	""		""	""		""	"L3475"	
"518.920"	""	"190"	""		""	""		""	"L3475"	
"519.308"	""	"170"	""		""	""		""	"L3475"	
"519.584"	""	"150"	""		""	""		""	"L3475"	
"520.322"	""	"65"	""		""	""		""	"L3475"	
"520.513"	""	"35"	""		""	""		""	"L3475"	
"521.910"	""	"85c"	""		""	""		""	"L3475"	
"522.516"	""	"65"	""		""	""		""	"L3475"	
"523.281"	""	"150"	""		""	""		""	"L3475"	
"523.743"	""	"85c"	""		""	""		""	"L3475"	
"524.039"	""	"29"	""		""	""		""	"L3475"	
"525.162"	""	"150bl"	""		""	""		""	"L3475"	
"525.181"	""	""	""		""	""		""	"L3475"	
"525.303"	""	"75"	""		""	""		""	"L3475"	
"525.393"	""	"85"	""		""	""		""	"L3475"	
"526.992"	""	"50"	""		""	""		""	"L3475"	
"527.153"	""	"270"	""		""	""		""	"L3475"	
"527.248"	""	"25"	""		""	""		""	"L3475"	
"527.620"	""	"130c"	""		""	""		""	"L3475"	
"527.943"	""	"29c"	""		""	""		""	"L3475"	
"528.526"	""	"50"	""		""	""		""	"L3475"	
"529.634"	""	"35"	""		""	""		""	"L3475"	
"531.555"	""	"50"	""		""	""		""	"L3475"	
"531.701"	""	"17"	""		""	""		""	"L3475"	
"531.860"	""	"250"	""		""	""		""	"L3475"	
"531.949"	""	"50"	""		""	""		""	"L3475"	
"533.487"	""	"75"	""		""	""		""	"L3475"	
"533.681"	""	"25"	""		""	""		""	"L3475"	
"534.080"	""	"50"	""		""	""		""	"L3475"	
"534.358"	""	"25"	""		""	""		""	"L3475"	
"534.417"	""	"460"	""		""	""		""	"L3475"	
"535.074"	""	"340"	""		""	""		""	"L3475"	
"535.328"	""	"40"	""		""	""		""	"L3475"	
"535.531"	""	"25"	""		""	""		""	"L3475"	
"535.570"	""	"40"	""		""	""		""	"L3475"	
"535.919"	""	"29"	""		""	""		""	"L3475"	
"536.201"	""	"17"	""		""	""		""	"L3475"	
"537.527"	""	"40"	""		""	""		""	"L3475"	
"538.134"	""	"40"	""		""	""		""	"L3475"	
"538.830"	""	"17"	""		""	""		""	"L3475"	
"539.586"	""	"21"	""		""	""		""	"L3475"	
"539.633"	""	"29"	""		""	""		""	"L3475"	
"541.124"	""	"29"	""		""	""		""	"L3475"	
"541.630"	""	"21"	""		""	""		""	"L3475"	
"542.244"	""	"65"	""		""	""		""	"L3475"	
"543.126"	""	"21"	""		""	""		""	"L3475"	
"543.727"	""	"110"	""		""	""		""	"L3475"	
"544.831"	""	"19"	""		""	""		""	"L3475"	
"545.619"	""	"19"	""		""	""		""	"L3475"	
"545.804"	""	"40"	""		""	""		""	"L3475"	
"546.810"	""	"19w"	""		""	""		""	"L3475"	
"548.100"	""	"40"	""		""	""		""	"L3475"	
"548.309"	""	"13"	""		""	""		""	"L3475"	
"548.349"	""	"19"	""		""	""		""	"L3475"	
"549.106"	""	"13"	""		""	""		""	"L3475"	
"549.953"	""	"17"	""		""	""		""	"L3475"	
"550.458"	""	"40"	""		""	""		""	"L3475"	
"550.912"	""	"17"	""		""	""		""	"L3475"	
"551.282"	""	"35c"	""		""	""		""	"L3475"	
"551.739"	""	"17"	""		""	""		""	"L3475"	
"552.357"	""	"50"	""		""	""		""	"L3475"	
