obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"589.406"	"589.407+"	"35"	""		"16103.32"	"33064.83"	"5d7.6s2"	"b 4P"	"5/2"	"5d7.6s.(5F).6p"	"z 6D*"	"5/2"		""	"L3475"	
"602.610"	"602.611+"	"7"	""		"13939.80"	"30529.66"	"5d7.6s2"	"a 2G"	"9/2"	"5d7.6s.(5F).6p"	"z 6D*"	"7/2"		""	"L3475"	
"606.783"	"606.782+"	"12"	""		"39940.27"	"56416.08"	""	"3994*"	"11/2"	""	"5641"	"9/2"		""	"L3475"	
"611.067"	"611.068+"	"20"	""		"16103.32"	"32463.58"	"5d7.6s2"	"b 4P"	"5/2"	"5d7.6s.(5F).6p"	"z 6D*"	"3/2"		""	"L3475"	
"628.828"	"628.827+"	"12"	""		"16565.35"	"32463.58"	"5d8.(3P).6s"	"a 4P"	"3/2"	"5d7.6s.(5F).6p"	"z 6D*"	"3/2"		""	"L3475"	
"633.444"	"633.443+"	"7"	""		"16681.20"	"32463.58"	"5d8.(3P).6s"	"a 4P"	"1/2"	"5d7.6s.(5F).6p"	"z 6D*"	"3/2"		""	"L3475"	
"662.473"	"662.472+"	"5"	""		"40291.19"	"55382.00"	""	"4029*"	"7/2"	""	"5538"	"7/2"		""	"L3475"	
"668.608"	"668.606+"	"10"	""		"39940.27"	"54892.63"	""	"3994*"	"11/2"	""	"5489"	"9/2"		""	"L3475"	
"683.001"	"683.002+"	"5"	""		"37871.69"	"52508.89"	"5d7.6s.(5F).6p"	"z 4F*"	"9/2"	"5d7.6s.(5F).7s"	"e 6F"	"9/2"		""	"L3475"	
"692.988"	"692.985+"	"5"	""		"16103.32"	"30529.66"	"5d7.6s2"	"b 4P"	"5/2"	"5d7.6s.(5F).6p"	"z 6D*"	"7/2"		""	"L3475"	
"718.371"	"718.371+"	"4"	""		"18547.04"	"32463.58"	"5d7.6s2"	"b 4P"	"3/2"	"5d7.6s.(5F).6p"	"z 6D*"	"3/2"		""	"L3475"	
