obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"587.18203"	"587.18200"	"15"	""		"16816.641"	"33842.417"	"4d.5s.(3D).5p"	"z 4D*"	"5/2"	"4d3"	"2P"	"3/2"		""	"L7610,L3475"	
"587.9929"	"587.99297"	"24"	"8.5e+06"	C	"16146.138"	"33148.432"	"4d.5s.(3D).5p"	"z 2D*"	"3/2"	"4d.5s.(3D).6s"	"e 4D"	"1/2"		"T4373"	"L7610,L3475"	
"590.29117"	"590.29106"	"35"	"4.1e+06"	C	"16816.641"	"33752.743"	"4d.5s.(3D).5p"	"z 4D*"	"5/2"	"4d.5s.(3D).6s"	"e 4D"	"7/2"		"T4373"	"L7610,L3475"	
"594.56863"	"594.56849"	"45"	""		"16597.304"	"33411.566"	"4d.5s.(3D).5p"	"z 4D*"	"3/2"	"4d.5s.(3D).6s"	"e 4D"	"5/2"		""	"L7610,L3475"	
"594.99874"	"594.99872"	"24"	"5.7e+06"	C	"16435.907"	"33238.011"	"4d.5s.(3D).5p"	"z 4D*"	"1/2"	"4d.5s.(3D).6s"	"e 4D"	"3/2"		"T4373"	"L7610,L3475"	
"598.1881"	"598.18794"	"50"	"1.4e+07"	D+	"16435.907"	"33148.432"	"4d.5s.(3D).5p"	"z 4D*"	"1/2"	"4d.5s.(3D).6s"	"e 4D"	"1/2"		"T4373"	"L7610,L3475"	
"600.91834"	"600.91840"	"120"	"1.9e+07"	C	"17116.156"	"33752.743"	"4d.5s.(3D).5p"	"z 4D*"	"7/2"	"4d.5s.(3D).6s"	"e 4D"	"7/2"		"T4373"	"L7610,L3475"	
"602.3408"	"602.34068"	"120"	""		"0.000"	"16597.304"	"4d.5s2"	"a 2D"	"3/2"	"4d.5s.(3D).5p"	"z 4D*"	"3/2"		""	"L7610,L3475"	
"608.79344"	"608.79405"	"50"	"1.09e+07"	C	"16816.641"	"33238.011"	"4d.5s.(3D).5p"	"z 4D*"	"5/2"	"4d.5s.(3D).6s"	"e 4D"	"3/2"		"T4373"	"L7610,L3475"	
"613.5000"	"613.49994"	"120"	""		"17116.156"	"33411.566"	"4d.5s.(3D).5p"	"z 4D*"	"7/2"	"4d.5s.(3D).6s"	"e 4D"	"5/2"		""	"L7610,L3475"	
"613.84352"	"613.84349"	"150"	""		"530.351"	"16816.641"	"4d.5s2"	"a 2D"	"5/2"	"4d.5s.(3D).5p"	"z 4D*"	"5/2"		""	"L7610,L3475"	
"619.1720"	"619.17183"	"1200"	"4.6e+06"	C+	"0.000"	"16146.138"	"4d.5s2"	"a 2D"	"3/2"	"4d.5s.(3D).5p"	"z 2D*"	"3/2"		"T4373"	"L7610,L3475"	
"622.2578"	"622.25784"	"300"	"5.8e+05"	C+	"0.000"	"16066.064"	"4d.5s2"	"a 2D"	"3/2"	"4d.5s.(3D).5p"	"z 2D*"	"5/2"		"T4373"	"L7610,L3475"	
"625.105"	""	"45"	""		""	""	""	""	""	""	""	""		""	"L7593,L3475"	
"640.2007"	"640.20062"	"75"	"2.7e+05"	C+	"530.351"	"16146.138"	"4d.5s2"	"a 2D"	"5/2"	"4d.5s.(3D).5p"	"z 2D*"	"3/2"		"T4373"	"L7610,L3475"	
"643.5022"	"643.50036"	"1000"	"4.1e+06"	C+	"530.351"	"16066.064"	"4d.5s2"	"a 2D"	"5/2"	"4d.5s.(3D).5p"	"z 2D*"	"5/2"		"T4373"	"L7610,L3475"	
"643.71697"	"643.71690"	"24"	"4.9e+06"	C+	"18499.315"	"34029.802"	"4d2.(1G).5s"	"a 2G"	"9/2"	"4d2.(3F).5p"	"x 2F*"	"7/2"		"T4373"	"L7610,L3475"	
""	"644.38455"	""	"3.2e+06"	D	"15994.045"	"31508.441"	"4d2.(1D).5s"	"b 2D"	"3/2"	"4d2.(3F).5p"	"y 4F*"	"3/2"		"T4373"	""	
"653.8568"	"653.85696"	"90"	"1.49e+07"	B	"18499.315"	"33788.956"	"4d2.(1G).5s"	"a 2G"	"9/2"	"4d2.(3F).5p"	"z 2G*"	"9/2"		"T4373"	"L7610,L3475"	
"655.73686"	"655.73708"	"70"	""		"0.000"	"15245.803"	"4d.5s2"	"a 2D"	"3/2"	"4d.5s.(3D).5p"	"z 4F*"	"5/2"		""	"L7610,L3475"	
"657.6862"	"657.68624"	"35"	""		"19237.608"	"34438.228"	"4d2.(3P).5s"	"a 2P"	"1/2"	"4d2.(3P).5p"	"z 2S*"	"1/2"		""	"L7610,L3475"	
"658.48556"	"658.48545"	"23"	""		"530.351"	"15712.522"	"4d.5s2"	"a 2D"	"5/2"	"4d.5s.(3D).5p"	"z 4F*"	"7/2"		""	"L7610,L3475"	
"662.24810"	"662.24819"	"14"	"4.5e+05"	D+	"18512.402"	"33608.312"	"4d2.(1G).5s"	"a 2G"	"7/2"	"4d2.(3F).5p"	"x 2F*"	"5/2"		"T4373"	"L7610,L3475"	
"663.6499"	"663.64989"	"19h"	""		"24899.632"	"39963.658"	"4d.5s.(1D).5p"	"y 2F*"	"7/2"	"4d.5s.(3D).5d"	"2F"	"7/2"		""	"L7610,L3475"	
"665.0601"	"665.06019"	"40"	""		"19406.146"	"34438.228"	"4d2.(3P).5s"	"a 2P"	"3/2"	"4d2.(3P).5p"	"z 2S*"	"1/2"		""	"L7610,L3475"	
"666.4420"	"666.44225"	"21"	""		"24899.632"	"39900.541"	"4d.5s.(1D).5p"	"y 2F*"	"7/2"	"4d.5s.(3D).5d"	"e 4F"	"9/2"		""	"L7610,L3475"	
"668.7570"	"668.75669"	"150"	""		"0.000"	"14948.994"	"4d.5s2"	"a 2D"	"3/2"	"4d.5s.(3D).5p"	"z 4F*"	"3/2"		""	"L7610,L3475"	
"669.18305"	"669.18317"	"14h"	""		"24746.573"	"39686.040"	"4d.5s.(1D).5p"	"y 2D*"	"5/2"	""	"1.3"	"3/2"		""	"L7610,L3475"	
"669.48303"	"669.48297"	"7"	""		"18499.315"	"33432.092"	"4d2.(1G).5s"	"a 2G"	"9/2"	"4d2.(3F).5p"	"z 2G*"	"7/2"		""	"L7610,L3475"	
"669.92875"	"669.92877"	"10h"	""		"24518.751"	"39441.591"	"4d.5s.(1D).5p"	"y 2F*"	"5/2"	"4d.5s.(3D).5d"	"2F"	"5/2"		""	"L7610,L3475"	
"670.0702"	"670.07022"	"70"	"1.10e+07"	B+	"18512.402"	"33432.092"	"4d2.(1G).5s"	"a 2G"	"7/2"	"4d2.(3F).5p"	"z 2G*"	"7/2"		"T9421"	"L7610,L3475"	
"671.31452"	"671.31470"	"35"	""		"21528.579"	"36420.611"	"4d.5s.(3D).5p"	"z 2F*"	"5/2"	"4d.5s.(3D).6s"	"f 2D"	"3/2"		""	"L7610,L3475"	
"673.59669"	"673.59672"	"40"	""		"19406.146"	"34247.727"	"4d2.(3P).5s"	"a 2P"	"3/2"	"4d2.(3F).5p"	"x 2D*"	"5/2"		""	"L7610,L3475"	
"679.3704"	"679.37029"	"190"	""		"530.351"	"15245.803"	"4d.5s2"	"a 2D"	"5/2"	"4d.5s.(3D).5p"	"z 4F*"	"5/2"		""	"L7610,L3475"	
"680.31501"	"680.31499"	"12h"	""		"24746.573"	"39441.591"	"4d.5s.(1D).5p"	"y 2D*"	"5/2"	"4d.5s.(3D).5d"	"2F"	"5/2"		""	"L7610,L3475"	
"681.51456"	"681.51454"	"21"	"7.1e+06"	C	"19237.608"	"33906.761"	"4d2.(3P).5s"	"a 2P"	"1/2"	"4d2.(3F).5p"	"x 2D*"	"3/2"		"T4373"	"L7610,L3475"	
"684.51950"	"684.51939"	"45"	"7.5e+06"	C	"19147.983"	"33752.743"	"4d.5s.(3D).5p"	"z 4P*"	"5/2"	"4d.5s.(3D).6s"	"e 4D"	"7/2"		"T4373"	"L7610,L3475"	
"688.71762"	"688.71767"	"29"	""		"21915.432"	"36431.165"	"4d.5s.(3D).5p"	"z 2F*"	"7/2"	"4d.5s.(3D).6s"	"f 2D"	"5/2"		""	"L7610,L3475"	
"690.8276"	"690.82799"	"9"	""		"14948.994"	"29420.385"	"4d.5s.(3D).5p"	"z 4F*"	"3/2"	"4d3"	"b 4F"	"5/2"		""	"L7610,L3475"	
"693.35535"	"693.35528"	"14"	""		"530.351"	"14948.994"	"4d.5s2"	"a 2D"	"5/2"	"4d.5s.(3D).5p"	"z 4F*"	"3/2"		""	"L7610,L3475"	
"695.0264"	"695.02650"	"24h"	""		"19027.593"	"33411.566"	"4d.5s.(3D).5p"	"z 4P*"	"3/2"	"4d.5s.(3D).6s"	"e 4D"	"5/2"		""	"L7610,L3475"	
"695.8031"	"695.80290"	"10"	""		"15245.803"	"29613.726"	"4d.5s.(3D).5p"	"z 4F*"	"5/2"	"4d3"	"b 4F"	"7/2"		""	"L7610,L3475"	
"697.98590"	"697.98598"	"24"	""		"14948.994"	"29271.979"	"4d.5s.(3D).5p"	"z 4F*"	"3/2"	"4d3"	"b 4F"	"3/2"		""	"L7610,L3475"	
"700.89287"	"700.89282"	"13h"	""		"19147.983"	"33411.566"	"4d.5s.(3D).5p"	"z 4P*"	"5/2"	"4d.5s.(3D).6s"	"e 4D"	"5/2"		""	"L7610,L3475"	
"700.9883"	"700.98807"	"10"	"4.4e+06"	C	"18976.366"	"33238.011"	"4d.5s.(3D).5p"	"z 4P*"	"1/2"	"4d.5s.(3D).6s"	"e 4D"	"3/2"		"T4373"	"L7610,L3475"	
"703.5150"	"703.51507"	"19h"	"6.3e+06"	D+	"19027.593"	"33238.011"	"4d.5s.(3D).5p"	"z 4P*"	"3/2"	"4d.5s.(3D).6s"	"e 4D"	"3/2"		"T4373"	"L7610,L3475"	
"705.2935"	"705.29370"	"29"	""		"15245.803"	"29420.385"	"4d.5s.(3D).5p"	"z 4F*"	"5/2"	"4d3"	"b 4F"	"5/2"		""	"L7610,L3475"	
"705.4189"	"705.41891"	"13h"	"8.e+06"	D	"18976.366"	"33148.432"	"4d.5s.(3D).5p"	"z 4P*"	"1/2"	"4d.5s.(3D).6s"	"e 4D"	"1/2"		"T4373"	"L7610,L3475"	
"707.5132"	"707.51310"	"9"	""		"15712.522"	"29842.640"	"4d.5s.(3D).5p"	"z 4F*"	"7/2"	"4d3"	"b 4F"	"9/2"		""	"L7610,L3475"	
"712.7970"	"712.79681"	"11"	""		"24131.250"	"38156.627"	"4d.5s.(1D).5p"	"y 2D*"	"3/2"	"4d3"	"2F"	"5/2"		""	"L7610,L3475"	
"719.16404"	"719.16394"	"35"	""		"15712.522"	"29613.726"	"4d.5s.(3D).5p"	"z 4F*"	"7/2"	"4d3"	"b 4F"	"7/2"		""	"L7610,L3475"	
"719.5874"	"719.58758"	"10h"	""		"24518.751"	"38411.771"	"4d.5s.(1D).5p"	"y 2F*"	"5/2"	"4d3"	"2F"	"7/2"		""	"L7610,L3475"	
"729.3073"	"729.30736"	"9h"	""		"15712.522"	"29420.385"	"4d.5s.(3D).5p"	"z 4F*"	"7/2"	"4d3"	"b 4F"	"5/2"		""	"L7610,L3475"	
"733.0499"	"733.05005"	"9h"	""		"24518.751"	"38156.627"	"4d.5s.(1D).5p"	"y 2F*"	"5/2"	"4d3"	"2F"	"5/2"		""	"L7610,L3475"	
"734.6457"	"734.64553"	"50"	""		"16234.382"	"29842.640"	"4d.5s.(3D).5p"	"z 4F*"	"9/2"	"4d3"	"b 4F"	"9/2"		""	"L7610,L3475"	
"739.8712"	"739.87148"	"11h"	""		"24899.632"	"38411.771"	"4d.5s.(1D).5p"	"y 2F*"	"7/2"	"4d3"	"2F"	"7/2"		""	"L7610,L3475"	
"749.4848"	"749.48534"	"17"	""		"19027.593"	"32366.409"	"4d.5s.(3D).5p"	"z 4P*"	"3/2"	"4d3"	"b 4P"	"5/2"		""	"L7610,L3475"	
"753.6639"	"753.6649"	"7h"	""		"28988.786"	"42253.630"	"4d2.(3F).5p"	"z 4G*"	"7/2"	"4d2.(3F).6s"	"4F"	"5/2"		""	"L7610,L3475"	
"756.31149"	"756.31149"	"35"	""		"19147.983"	"32366.409"	"4d.5s.(3D).5p"	"z 4P*"	"5/2"	"4d3"	"b 4P"	"5/2"		""	"L7610,L3475"	
"761.7608"	"761.7611"	"8h"	""		"29364.111"	"42487.974"	"4d2.(3F).5p"	"z 4G*"	"9/2"	"4d2.(3F).6s"	"4F"	"7/2"		""	"L7610,L3475"	
"762.2961"	"762.29621"	"19h"	""		"18976.366"	"32091.016"	"4d.5s.(3D).5p"	"z 4P*"	"1/2"	"4d3"	"b 4P"	"3/2"		""	"L7610,L3475"	
"765.2854"	"765.28550"	"7"	""		"19027.593"	"32091.016"	"4d.5s.(3D).5p"	"z 4P*"	"3/2"	"4d3"	"b 4P"	"3/2"		""	"L7610,L3475"	
"768.9472"	"768.94706"	"5"	""		"18976.366"	"31977.584"	"4d.5s.(3D).5p"	"z 4P*"	"1/2"	"4d3"	"b 4P"	"1/2"		""	"L7610,L3475"	
"769.7918"	"769.7917"	"8h"	""		"29820.374"	"42807.326"	"4d2.(3F).5p"	"z 4G*"	"11/2"	"4d2.(3F).6s"	"4F"	"9/2"		""	"L7610,L3475"	
"771.9888"	"771.98885"	"19"	""		"19027.593"	"31977.584"	"4d.5s.(3D).5p"	"z 4P*"	"3/2"	"4d3"	"b 4P"	"1/2"		""	"L7610,L3475"	
"772.4057"	"772.40386"	"19"	""		"19147.983"	"32091.016"	"4d.5s.(3D).5p"	"z 4P*"	"5/2"	"4d3"	"b 4P"	"3/2"		""	"L7610,L3475"	
"778.8402"	"778.84022"	"13"	""		"16435.907"	"29271.979"	"4d.5s.(3D).5p"	"z 4D*"	"1/2"	"4d3"	"b 4F"	"3/2"		""	"L7610,L3475"	
"779.6291"	"779.62926"	"13"	""		"16597.304"	"29420.385"	"4d.5s.(3D).5p"	"z 4D*"	"3/2"	"4d3"	"b 4F"	"5/2"		""	"L7610,L3475"	
