obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"506.491"	""	"360"	""		""	""		""	"L3475"	
"506.522"	""	"110"	""		""	""		""	"L3475"	
"507.026"	""	"100"	""		""	""		""	"L3475"	
"507.398"	""	"75"	""		""	""		""	"L3475"	
"507.825"	""	"470"	""		""	""		""	"L3475"	
"508.526"	""	"85"	""		""	""		""	"L3475"	
"511.524"	""	"140"	""		""	""		""	"L3475"	
"512.042"	""	"50"	""		""	""		""	"L3475"	
"513.340"	""	"85"	""		""	""		""	"L3475"	
"515.545"	""	"300"	""		""	""		""	"L3475"	
"515.800"	""	"200"	""		""	""		""	"L3475"	
"515.867"	""	"35"	""		""	""		""	"L3475"	
"516.099"	""	"75"	""		""	""		""	"L3475"	
"516.596"	""	"85"	""		""	""		""	"L3475"	
"517.899"	""	"17"	""		""	""		""	"L3475"	
"518.370"	""	"100"	""		""	""		""	"L3475"	
"518.703"	""	"30"	""		""	""		""	"L3475"	
"520.115"	""	"100"	""		""	""		""	"L3475"	
"520.930"	""	"85"	""		""	""		""	"L3475"	
"522.493"	""	"85"	""		""	""		""	"L3475"	
"524.347"	""	"30"	""		""	""		""	"L3475"	
"527.741"	""	"120"	""		""	""		""	"L3475"	
"528.005"	""	"75"	""		""	""		""	"L3475"	
"529.482"	""	"60"	""		""	""		""	"L3475"	
"529.679"	""	"120"	""		""	""		""	"L3475"	
"530.197"	""	"60"	""		""	""		""	"L3475"	
"531.140"	""	"110"	""		""	""		""	"L3475"	
"532.126"	""	"25"	""		""	""		""	"L3475"	
"533.084"	""	"22"	""		""	""		""	"L3475"	
"533.843"	""	"12"	""		""	""		""	"L3475"	
"535.090"	""	"25"	""		""	""		""	"L3475"	
"535.192"	""	"25"	""		""	""		""	"L3475"	
"536.256"	""	"75"	""		""	""		""	"L3475"	
"536.335"	""	"12"	""		""	""		""	"L3475"	
"536.939"	""	"17"	""		""	""		""	"L3475"	
"538.237"	""	"20"	""		""	""		""	"L3475"	
"538.514"	""	"270"	""		""	""		""	"L3475"	
"538.665"	""	"30"	""		""	""		""	"L3475"	
"539.118"	""	"17"	""		""	""		""	"L3475"	
"539.588"	""	"17"	""		""	""		""	"L3475"	
"540.513"	""	"25"	""		""	""		""	"L3475"	
"540.762"	""	"85"	""		""	""		""	"L3475"	
"541.393"	""	"17"	""		""	""		""	"L3475"	
"542.186"	""	"20"	""		""	""		""	"L3475"	
"542.636"	""	"15"	""		""	""		""	"L3475"	
"542.842"	""	"25"	""		""	""		""	"L3475"	
"543.776"	""	"25"	""		""	""		""	"L3475"	
"544.041"	""	"15"	""		""	""		""	"L3475"	
"544.857"	""	"35"	""		""	""		""	"L3475"	
"547.492"	""	"10"	""		""	""		""	"L3475"	
"547.740"	""	"10"	""		""	""		""	"L3475"	
"547.833"	""	"35"	""		""	""		""	"L3475"	
"548.083"	""	"35"	""		""	""		""	"L3475"	
"548.116"	""	"10"	""		""	""		""	"L3475"	
"548.609"	""	"30"	""		""	""		""	"L3475"	
"550.212"	""	"140"	""		""	""		""	"L3475"	
"550.787"	""	"25"	""		""	""		""	"L3475"	
"551.711"	""	"30"	""		""	""		""	"L3475"	
"551.805"	""	"10"	""		""	""		""	"L3475"	
"552.841"	""	"75"	""		""	""		""	"L3475"	
"553.230"	""	"20"	""		""	""		""	"L3475"	
"553.746"	""	"45"	""		""	""		""	"L3475"	
"554.532"	""	"50"	""		""	""		""	"L3475"	
"561.211"	""	"12"	""		""	""		""	"L3475"	
"562.014"	""	"120"	""		""	""		""	"L3475"	
"562.353"	""	"35"	""		""	""		""	"L3475"	
"566.451"	""	"160"	""		""	""		""	"L3475"	
"566.628"	""	"20"	""		""	""		""	"L3475"	
"568.090"	""	"120"	""		""	""		""	"L3475"	
"568.542"	""	"15"	""		""	""		""	"L3475"	
"570.889"	""	"30"	""		""	""		""	"L3475"	
"573.570"	""	"120"	""		""	""		""	"L3475"	
"579.774"	""	"160"	""		""	""		""	"L3475"	
"584.732"	""	"30"	""		""	""		""	"L3475"	
"586.827"	""	"50"	""		""	""		""	"L3475"	
"586.950"	""	"110"	""		""	""		""	"L3475"	
"587.980"	""	"340"	""		""	""		""	"L3475"	
"588.562"	""	"85"	""		""	""		""	"L3475"	
"590.109"	""	"50"	""		""	""		""	"L3475"	
"592.513"	""	"140"	""		""	""		""	"L3475"	
"593.520"	""	"100"	""		""	""		""	"L3475"	
"595.535"	""	"110"	""		""	""		""	"L3475"	
"598.423"	""	"100"	""		""	""		""	"L3475"	
"599.537"	""	"17"	""		""	""		""	"L3475"	
"600.105"	""	"50"	""		""	""		""	"L3475"	
"602.536"	""	"30"	""		""	""		""	"L3475"	
"603.261"	""	"85"	""		""	""		""	"L3475"	
"604.585"	""	"170"	""		""	""		""	"L3475"	
"604.924"	""	"100"	""		""	""		""	"L3475"	
"606.284"	""	"140"	""		""	""		""	"L3475"	
"612.083"	""	"50"	""		""	""		""	"L3475"	
"612.191"	""	"170"	""		""	""		""	"L3475"	
"612.484"	""	"85"	""		""	""		""	"L3475"	
"612.744"	""	"680"	""		""	""		""	"L3475"	
"613.455"	""	"340"	""		""	""		""	"L3475"	
"614.046"	""	"100"	""		""	""		""	"L3475"	
"614.320"	""	"440"	""		""	""		""	"L3475"	
"615.561"	""	"30"	""		""	""		""	"L3475"	
"615.771"	""	"75"	""		""	""		""	"L3475"	
"616.020"	""	"25"	""		""	""		""	"L3475"	
"618.940"	""	"35"	""		""	""		""	"L3475"	
"619.296"	""	"60"	""		""	""		""	"L3475"	
"621.305"	""	"85"	""		""	""		""	"L3475"	
"621.469"	""	"100"	""		""	""		""	"L3475"	
"625.726"	""	"100"	""		""	""		""	"L3475"	
"626.706"	""	"35"	""		""	""		""	"L3475"	
"629.966"	""	"120"	""		""	""		""	"L3475"	
"630.434"	""	"15"	""		""	""		""	"L3475"	
"631.302"	""	"300"	""		""	""		""	"L3475"	
"631.471"	""	"30"	""		""	""		""	"L3475"	
"632.135"	""	"50"	""		""	""		""	"L3475"	
"634.036"	""	"22"	""		""	""		""	"L3475"	
"634.522"	""	"75"	""		""	""		""	"L3475"	
"640.700"	""	"35"	""		""	""		""	"L3475"	
"642.617"	""	"12"	""		""	""		""	"L3475"	
"643.433"	""	"35"	""		""	""		""	"L3475"	
"644.574"	""	"60"	""		""	""		""	"L3475"	
"645.162"	""	"20"	""		""	""		""	"L3475"	
"645.763"	""	"20"	""		""	""		""	"L3475"	
"647.021"	""	"110"	""		""	""		""	"L3475"	
"648.435"	""	"11"	""		""	""		""	"L3475"	
"648.964"	""	"110"	""		""	""		""	"L3475"	
"649.310"	""	"22"	""		""	""		""	"L3475"	
"650.326"	""	"50"	""		""	""		""	"L3475"	
"650.636"	""	"50"	""		""	""		""	"L3475"	
"655.054"	""	"35"	""		""	""		""	"L3475"	
"656.943"	""	"30"	""		""	""		""	"L3475"	
"657.656"	""	"20"	""		""	""		""	"L3475"	
"659.199"	""	"50"	""		""	""		""	"L3475"	
"659.671"	""	"10"	""		""	""		""	"L3475"	
"659.884"	""	"10"	""		""	""		""	"L3475"	
"660.327"	""	"50"	""		""	""		""	"L3475"	
"662.056"	""	"15"	""		""	""		""	"L3475"	
"668.818"	""	"22"	""		""	""		""	"L3475"	
"670.212"	""	"11"	""		""	""		""	"L3475"	
"670.961"	""	"17"	""		""	""		""	"L3475"	
"671.788"	""	"27"	""		""	""		""	"L3475"	
"675.273"	""	"40"	""		""	""		""	"L3475"	
"676.238"	""	"75"	""		""	""		""	"L3475"	
"676.916"	""	"85"	""		""	""		""	"L3475"	
"677.289"	""	"27"	""		""	""		""	"L3475"	
"679.085"	""	"35"	""		""	""		""	"L3475"	
"682.878"	""	"45"	""		""	""		""	"L3475"	
"683.289"	""	"45"	""		""	""		""	"L3475"	
"684.533"	""	"13"	""		""	""		""	"L3475"	
"684.634"	""	"17"	""		""	""		""	"L3475"	
"684.697"	""	"100"	""		""	""		""	"L3475"	
"684.926"	""	"27"	""		""	""		""	"L3475"	
"685.256"	""	"13"	""		""	""		""	"L3475"	
"688.829"	""	"120"	""		""	""		""	"L3475"	
"690.059"	""	"29"	""		""	""		""	"L3475"	
"690.436"	""	"20"	""		""	""		""	"L3475"	
"690.737"	""	"29"	""		""	""		""	"L3475"	
"691.687"	""	"20"	""		""	""		""	"L3475"	
"693.238"	""	"16"	""		""	""		""	"L3475"	
"694.846"	""	"29"	""		""	""		""	"L3475"	
"695.384"	""	"150"	""		""	""		""	"L3475"	
"696.644"	""	"60"	""		""	""		""	"L3475"	
"697.591"	""	"10"	""		""	""		""	"L3475"	
