obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"388.9456"	""	"3.1e+07"	E	"43139.27"	"68842.52?"	"3d6.(1I).4s"	"b 2I"	"11/2"	""	"z 2K*"	"13/2"		"T1117"	""	
""	"389.1614"	""	"1.1e+06"	E	"34138.88"	"59827.88"	"3d6.(3H).4s"	"a 4H"	"13/2"	"3d6.(3H).4p"	"z 2I*"	"11/2"		"T1117"	""	
""	"389.4730"	""	"2.5e+06"	E	"27201.54"	"52869.99"	"3d5.4s2"	"a 4P"	"5/2"	"3d5.(4D).4s.4p.(3P*)"	"x 6D*"	"7/2"		"T1117"	""	
""	"389.8344"	""	"1.7e+07"	E	"33825.49"	"59470.14"	"3d6.(3P2).4s"	"b 4P"	"5/2"	"3d6.(a 3P).4p"	"4D*"	"7/2"		"T1117"	""	
""	"389.9313"	""	"2.4e+07"	E	"34463.37"	"60101.65"	"3d6.(3P2).4s"	"b 4P"	"3/2"	"3d6.(a 3P).4p"	"4D*"	"5/2"		"T1117"	""	
""	"391.1133"	""	"1.3e+07"	E	"31001.15"	"56561.95"	"3d5.(6S).4s.4p.(3P*)"	"z 4P*"	"5/2"	""	"e 4D"	"5/2"		"T1117"	""	
""	"391.2728"	""	"4.2e+06"	E	"34845.26"	"60395.64"	"3d6.(3P2).4s"	"b 4P"	"1/2"	"3d6.(a 3P).4p"	"2D*"	"3/2"		"T1117"	""	
""	"391.4148"	""	"1.2e+06"	E	"31124.95"	"56666.06"	"3d5.(6S).4s.4p.(3P*)"	"z 4P*"	"1/2"	"3d6.(5D).5s"	"i 6D"	"1/2"		"T1117"	""	
"391.832"	""	"65"	""		""	""	""	""	""	""	""	""		""	"L3475"	
""	"391.9303"	""	"8.8e+06"	E	"41230.30"	"66737.82"	"3d6.(3G).4s"	"a 2G"	"7/2"	"3d6.(a 1G).4p"	"v 2G*"	"7/2"		"T1117"	""	
""	"392.0635"	""	"2.7e+06"	E	"37789.93"	"63288.78"	"3d6.(3G).4s"	"b 4G"	"5/2"	"3d5.(4G).4s.4p.(1P*)"	"*"	"7/2"		"T1117"	""	
""	"392.3317"	""	"1.3e+07"	E	"34250.52"	"59731.94"	"3d6.(3H).4s"	"a 4H"	"11/2"	"3d6.(a 3F).4p"	"x 4G*"	"9/2"		"T1117"	""	
""	"392.4047"	""	"9.4e+07"	E	"31124.95"	"56601.63"	"3d5.(6S).4s.4p.(3P*)"	"z 4P*"	"1/2"	""	"e 4D"	"3/2"		"T1117"	""	
"392.647"	"392.6475"	"120"	"5.4e+07"	D	"31001.15"	"56462.08"	"3d5.(6S).4s.4p.(3P*)"	"z 4P*"	"5/2"	""	"e 4D"	"7/2"		"T1117"	"L3475"	
""	"392.8292"	""	"3.9e+06"	E	"38008.70"	"63457.85"	"3d6.(3H).4s"	"a 2H"	"11/2"	"3d5.(4G).4s.4p.(1P*)"	"w 4H*"	"11/2"		"T1117"	""	
""	"392.9642"	""	"9.2e+06"	E	"34343.90"	"59784.31"	"3d6.(3H).4s"	"a 4H"	"9/2"	"3d6.(a 3F).4p"	"x 4G*"	"7/2"		"T1117"	""	
""	"393.1512"	""	"8.2e+06"	E	"38120.18"	"63548.49"	"3d6.(3H).4s"	"a 2H"	"9/2"	"3d6.(3G).4p"	"2H*"	"9/2"		"T1117"	""	
""	"393.5525"	""	"2.4e+06"	E	"34250.52"	"59652.90"	"3d6.(3H).4s"	"a 4H"	"11/2"	"3d6.(a 3F).4p"	"x 4G*"	"11/2"		"T1117"	""	
""	"393.6757"	""	"1.2e+07"	E	"34423.27"	"59817.70"	"3d6.(3H).4s"	"a 4H"	"7/2"	"3d6.(a 3F).4p"	"x 4G*"	"5/2"		"T1117"	""	
""	"393.7748"	""	"3.0e+06"	E	"34343.90"	"59731.94"	"3d6.(3H).4s"	"a 4H"	"9/2"	"3d6.(a 3F).4p"	"x 4G*"	"9/2"		"T1117"	""	
""	"394.2870"	""	"1.8e+06"	E	"31001.15"	"56356.21"	"3d5.(6S).4s.4p.(3P*)"	"z 4P*"	"5/2"	"3d6.(5D).5s"	"i 6D"	"7/2"		"T1117"	""	
""	"395.1963"	""	"3.1e+07"	E	"34845.26"	"60141.98"	"3d6.(3P2).4s"	"b 4P"	"1/2"	"3d6.(a 3P).4p"	"4D*"	"1/2"		"T1117"	""	
"395.284"	"395.2834"	"65"	"4.1e+07"	E	"33825.49"	"59116.64"	"3d6.(3P2).4s"	"b 4P"	"5/2"	"3d6.(a 3F).4p"	"4D*"	"5/2"		"T1117"	"L3475"	
""	"395.4565"	""	"4.6e+06"	E	"38008.70"	"63288.78"	"3d6.(3H).4s"	"a 2H"	"11/2"	"3d6.(3G).4p"	"2H*"	"11/2"		"T1117"	""	
"397.589"	"397.5887"	"55"	"1.8e+07"	E	"34845.26"	"59989.77"	"3d6.(3P2).4s"	"b 4P"	"1/2"	"3d6.(a 3P).4p"	"4D*"	"3/2"		"T1117"	"L3475"	
"397.708"	"397.7078"	"65"	"1.6e+07"	E	"34463.37"	"59600.35"	"3d6.(3P2).4s"	"b 4P"	"3/2"	"3d6.(a 3P).4p"	"2D*"	"5/2"		"T1117"	"L3475"	
""	"397.8778"	""	"7.4e+05"	E	"34343.90"	"59470.14"	"3d6.(3H).4s"	"a 4H"	"9/2"	"3d6.(a 3P).4p"	"4D*"	"7/2"		"T1117"	""	
""	"398.0143"	""	"1.3e+07"	E	"41031.48"	"66149.10"	"3d6.(3G).4s"	"a 2G"	"9/2"	"3d6.(3G).4p"	"*"	"7/2"		"T1117"	""	
""	"398.2157"	""	"3.5e+07"	E	"34463.37"	"59568.29"	"3d6.(3P2).4s"	"b 4P"	"3/2"	"3d6.(a 3P).4p"	"u 4P*"	"1/2"		"T1117"	""	
"398.258"	"398.2583"	"130"	"2.3e+07"	E	"25281.04"	"50383.27"	"3d5.4s2"	"a 4G"	"5/2"	"3d5.(4G).4s.4p.(3P*)"	"y 4F*"	"3/2"		"T1117"	"L3475"	
""	"398.2791"	""	"5.5e+07"	E	"41403.93"	"66504.85"	"3d5.4s.(7S).5s"	"e 6S"	"5/2"	"3d5.(4P).4s.4p.(1P*)"	"4S*"	"3/2"		"T1117"	""	
""	"398.4177"	""	"2.3e+06"	E	"25281.04"	"50373.23"	"3d5.4s2"	"a 4G"	"5/2"	"3d5.(4G).4s.4p.(3P*)"	"y 4F*"	"5/2"		"T1117"	""	
"398.524"	"398.5241"	"150"	"9.7e+06"	E	"25287.74"	"50373.23"	"3d5.4s2"	"a 4G"	"7/2"	"3d5.(4G).4s.4p.(3P*)"	"y 4F*"	"5/2"		"T1117"	"L3475"	
