obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"646.019"	""	"9w"	""		""	""		""	"L3475"	
"648.655"	""	"45"	""		""	""		""	"L3475"	
"649.175"	""	"40w"	""		""	""		""	"L3475"	
"649.349"	""	"9"	""		""	""		""	"L3475"	
"649.489"	""	"11"	""		""	""		""	"L3475"	
"649.711"	""	"22c"	""		""	""		""	"L3475"	
"650.072"	""	"22"	""		""	""		""	"L3475"	
"650.409"	""	"9"	""		""	""		""	"L3475"	
"651.714"	""	"8"	""		""	""		""	"L3475"	
"653.452"	""	"8"	""		""	""		""	"L3475"	
"654.047"	""	"16"	""		""	""		""	"L3475"	
"655.330"	""	"7w"	""		""	""		""	"L3475"	
"657.103"	""	"7"	""		""	""		""	"L3475"	
"657.800"	""	"6"	""		""	""		""	"L3475"	
"659.548"	""	"11"	""		""	""		""	"L3475"	
"660.986"	""	"15"	""		""	""		""	"L3475"	
"661.667"	""	"55"	""		""	""		""	"L3475"	
"663.100"	""	"7w"	""		""	""		""	"L3475"	
"663.206"	""	"13w"	""		""	""		""	"L3475"	
"664.712"	""	"14"	""		""	""		""	"L3475"	
"669.925"	""	"4w"	""		""	""		""	"L3475"	
"673.679"	""	"13"	""		""	""		""	"L3475"	
"674.709"	""	"35c"	""		""	""		""	"L3475"	
"674.919"	""	"19c"	""		""	""		""	"L3475"	
"679.860"	""	"55c,w"	""		""	""		""	"L3475"	
"681.761"	""	"9"	""		""	""		""	"L3475"	
"684.439"	""	"9"	""		""	""		""	"L3475"	
"685.277"	""	"11"	""		""	""		""	"L3475"	
"687.044"	""	"11c"	""		""	""		""	"L3475"	
"688.466"	""	"7"	""		""	""		""	"L3475"	
"689.271"	""	"8"	""		""	""		""	"L3475"	
"698.012"	""	"8c"	""		""	""		""	"L3475"	
"702.453"	""	"10"	""		""	""		""	"L3475"	
"704.240"	""	"13"	""		""	""		""	"L3475"	
"705.107"	""	"7"	""		""	""		""	"L3475"	
"707.999"	""	"10"	""		""	""		""	"L3475"	
"709.518"	""	"11c"	""		""	""		""	"L3475"	
"711.455"	""	"20"	""		""	""		""	"L3475"	
"711.690"	""	"10w"	""		""	""		""	"L3475"	
"715.988"	""	"10w"	""		""	""		""	"L3475"	
"718.995"	""	"7w"	""		""	""		""	"L3475"	
"723.153"	""	"13"	""		""	""		""	"L3475"	
"724.326"	""	"7c"	""		""	""		""	"L3475"	
"725.921"	""	"7c"	""		""	""		""	"L3475"	
"728.761"	""	"7c"	""		""	""		""	"L3475"	
"728.919"	""	"7w"	""		""	""		""	"L3475"	
"732.442"	""	"7c,w"	""		""	""		""	"L3475"	
"732.847"	""	"7"	""		""	""		""	"L3475"	
"749.559"	""	"11w"	""		""	""		""	"L3475"	
"749.942"	""	"6w"	""		""	""		""	"L3475"	
"757.486"	""	"6"	""		""	""		""	"L3475"	
"772.184"	""	"16"	""		""	""		""	"L3475"	
