obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"638.0728"	"638.07290"	"1000"	"5.2e+06"	C+	"18159.040"	"33826.899"	"5s.4d"	"3D"	"1"	"4d.5p"	"1D*"	"2"		"T5960"	"L7362"	
"638.6458"	"638.64581"	"1300"	"1.1e+07"	C+	"18319.261"	"33973.065"	"5s.4d"	"3D"	"3"	"5s.6p"	"3P*"	"2"		"T5960"	"L7362"	
"638.8203"	"638.8201"	"800"	"1.4e+07"	C+	"18218.784"	"33868.317"	"5s.4d"	"3D"	"2"	"5s.6p"	"3P*"	"1"		"T5960"	"L7362"	
"640.8463"	"640.8463"	"3100"	"2.4e+07"	C+	"18319.261"	"33919.315"	"5s.4d"	"3D"	"3"	"4d.5p"	"3F*"	"4"		"T5960"	"L7362"	
"644.6654"	"644.66536"	"350"	"1.5e+06"	C+	"18319.261"	"33826.899"	"5s.4d"	"3D"	"3"	"4d.5p"	"1D*"	"2"		"T5960"	"L7362"	
"646.5774"	"646.5773"	"280"	""		"21698.452"	"37160.234"	"5s.5p"	"1P*"	"1"	"5p2"	"1S"	"0"		""	"L7362"	
"650.3989"	"650.3992"	"2100"	"2.0e+07"	C+	"18218.784"	"33589.709"	"5s.4d"	"3D"	"2"	"4d.5p"	"3F*"	"3"		"T5960"	"L7362"	
"654.6791"	"654.6788"	"500"	"3.8e+06"	C+	"18319.261"	"33589.709"	"5s.4d"	"3D"	"3"	"4d.5p"	"3F*"	"3"		"T5960"	"L7362"	
"655.0244"	"655.0244"	"1400"	"8.9e+07"	C	"21698.452"	"36960.842"	"5s.5p"	"1P*"	"1"	"4d2"	"1D"	"2"		"T5363"	"L7362"	
"661.7266"	"661.72651"	"1100"	"1.6e+07"	C+	"18159.040"	"33266.851"	"5s.4d"	"3D"	"1"	"4d.5p"	"3F*"	"2"		"T5960"	"L7362"	
"664.3536"	"664.35372"	"400"	"4.4e+06"	C+	"18218.784"	"33266.851"	"5s.4d"	"3D"	"2"	"4d.5p"	"3F*"	"2"		"T5960"	"L7362"	
"679.1022"	"679.10198"	"7000"	"8.9e+06"	B+'	"14317.507"	"29038.773"	"5s.5p"	"3P*"	"0"	"5s.6s"	"3S"	"1"		"T5178"	"L7362"	
"687.8313"	"687.83128"	"12000"	"2.7e+07"	B+	"14504.334"	"29038.773"	"5s.5p"	"3P*"	"1"	"5s.6s"	"3S"	"1"		"T5178"	"L7362"	
"689.2585"	"689.25894"	"2300"	"4.69e+04"	A+	"0.000"	"14504.334"	"5s2"	"1S"	"0"	"5s.5p"	"3P*"	"1"		"T6787"	"L7362"	
"707.0071"	"707.0072"	"14000"	"4.2e+07"	B	"14898.545"	"29038.773"	"5s.5p"	"3P*"	"2"	"5s.6s"	"3S"	"1"		"T5178"	"L7362"	
"715.302"	"715.3057"	"170"	""		"21698.452"	"35674.637"	"5s.5p"	"1P*"	"1"	"5p2"	"3P"	"2"		""	"L13482"	
"716.7143"	"716.7142"	"1100l"	"9.4e+06"	C+	"20149.685"	"34098.404"	"5s.4d"	"1D"	"2"	"5s.6p"	"1P*"	"1"		"T5960"	"L7362"	
"723.2131"	"723.2128"	"440l"	"6.0e+06"	C+	"20149.685"	"33973.065"	"5s.4d"	"1D"	"2"	"5s.6p"	"3P*"	"2"		"T5960"	"L7362"	
"728.7344"	"728.7349"	"70h"	"1.6e+06"	C+	"20149.685"	"33868.317"	"5s.4d"	"1D"	"2"	"5s.6p"	"3P*"	"1"		"T5960"	"L7362"	
"730.9417"	"730.94166"	"1700"	"3.9e+07"	C+	"20149.685"	"33826.899"	"5s.4d"	"1D"	"2"	"4d.5p"	"1D*"	"2"		"T5960"	"L7362"	
"740.812"	"740.8117"	"17"	""		"21698.452"	"35193.442"	"5s.5p"	"1P*"	"1"	"5p2"	"3P"	"0"		""	"L13482"	
"743.842"	"743.8414"	"10"	"5.0e+05"	A'	"20149.685"	"33589.709"	"5s.4d"	"1D"	"2"	"4d.5p"	"3F*"	"3"		"T5178"	"L13482"	
"750.338"	"750.3448"	"3"	""		"21698.452"	"35021.989"	"5s.5p"	"1P*"	"1"	"5s.5d"	"3D"	"2"		""	"L13482"	
"762.1500"	"762.14999"	"100"	"7.8e+06"	A'	"20149.685"	"33266.851"	"5s.4d"	"1D"	"2"	"4d.5p"	"3F*"	"2"		"T5178"	"L7362"	
"767.3077"	"767.3077"	"200s"	"6.6e+06"	C	"21698.452"	"34727.447"	"5s.5p"	"1P*"	"1"	"5s.5d"	"1D"	"2"		"T5363"	"L7362"	
