obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	Type	tp_ref	line_ref	
"622.942"	""	"30c,w"	""		""	""		""	"L3475"	
"624.324"	""	"35c,w"	""		""	""		""	"L3475"	
"626.002"	""	"35bl"	""		""	""		""	"L3475"	
"626.024"	""	""	""		""	""		""	"L3475"	
"627.137"	""	"18c"	""		""	""		""	"L3475"	
"627.876"	""	"18"	""		""	""		""	"L3475"	
"628.641"	""	"10"	""		""	""		""	"L3475"	
"630.342"	""	"10"	""		""	""		""	"L3475"	
"630.770"	""	"200"	""		""	""		""	"L3475"	
"632.190"	""	"200"	""		""	""		""	"L3475"	
"635.075"	""	"80bl"	""		""	""		""	"L3475"	
"638.294"	""	"16w"	""		""	""		""	"L3475"	
"641.147"	""	"14"	""		""	""		""	"L3475"	
"651.147"	""	"50"	""		""	""		""	"L3475"	
"651.525"	""	"14"	""		""	""		""	"L3475"	
"654.491"	""	"12"	""		""	""		""	"L3475"	
"657.711"	""	"35c"	""		""	""		""	"L3475"	
"659.252"	""	"40c,w"	""		""	""		""	"L3475"	
"660.519"	""	"100c,w"	""		""	""		""	"L3475"	
"662.391"	""	"30c"	""		""	""		""	"L3475"	
"663.725"	""	"10c"	""		""	""		""	"L3475"	
"665.239"	""	"27c,w"	""		""	""		""	"L3475"	
"668.328"	""	"15w"	""		""	""		""	"L3475"	
"671.130"	""	"9c"	""		""	""		""	"L3475"	
"675.122"	""	"30"	""		""	""		""	"L3475"	
"676.119"	""	"5c"	""		""	""		""	"L3475"	
"681.341"	""	"180c"	""		""	""		""	"L3475"	
"682.990"	""	"260"	""		""	""		""	"L3475"	
"697.153"	""	"85"	""		""	""		""	"L3475"	
"700.663"	""	"35c,w"	""		""	""		""	"L3475"	
"702.415"	""	"65c,w"	""		""	""		""	"L3475"	
"724.667"	""	"65c,w"	""		""	""		""	"L3475"	
"729.272"	""	"13c,w"	""		""	""		""	"L3475"	
"757.873"	""	"40c,w"	""		""	""		""	"L3475"	
"761.189"	""	"13"	""		""	""		""	"L3475"	
"762.025"	""	"7c,w"	""		""	""		""	"L3475"	
"764.094"	""	"50c,w"	""		""	""		""	"L3475"	
